Wall time,Step,Value
1738699389.8741877,3207,2.3012068271636963
1738699390.6758184,3214,2.037400960922241
1738699395.2798424,3230,1.9894739389419556
1738699396.8656235,3243,2.0802011489868164
1738699397.3502774,3247,1.8696211576461792
1738699398.3313673,3255,2.2641141414642334
1738699401.7882059,3284,2.0855462551116943
1738699402.254089,3288,2.2894129753112793
1738699402.603993,3291,1.8624695539474487
1738699403.5378373,3299,2.1370649337768555
1738699408.59084,3317,2.3008759021759033
1738699408.9515266,3320,1.922956109046936
1738699409.805795,3327,2.2937448024749756
1738699410.7930508,3335,2.5055813789367676
1738699411.4117684,3340,1.7181650400161743
1738699412.1523035,3346,2.373082399368286
1738699412.8545501,3352,2.2455692291259766
1738699413.797578,3360,2.3434994220733643
1738699441.511646,3390,2.2594597339630127
1738699443.7236435,3408,2.0705325603485107
1738699444.0918732,3411,2.0515224933624268
1738699445.0617104,3419,1.949764609336853
1738699445.5315616,3423,2.2401130199432373
1738699446.1122499,3428,2.2105071544647217
1738699446.5786014,3432,2.200127363204956
1738699447.2793913,3438,2.2982017993927
1738699448.0960648,3445,1.9397083520889282
1738699451.5401003,3452,2.2340028285980225
1738699452.6494725,3459,2.15169620513916
1738699453.0236964,3462,1.8961328268051147
1738699453.8600233,3469,1.783186674118042
1738699457.0426328,3495,2.29315185546875
1738699459.0040917,3512,2.082465887069702
1738699464.423809,3534,1.8390730619430542
1738699465.551207,3543,1.9663230180740356
1738699465.670139,3544,2.4255263805389404
1738699467.2369385,3557,2.745617628097534
1738699468.0937753,3564,2.0178656578063965
1738699468.708707,3569,2.3549065589904785
1738699468.8329425,3570,2.333116292953491
1738699469.1880908,3573,2.21022629737854
1738699469.6576514,3577,2.099940061569214
1738699471.7513995,3595,1.8460499048233032
1738699476.725274,3613,2.2378780841827393
1738699477.4695196,3619,1.8974353075027466
1738699478.5528755,3628,2.1273038387298584
1738699481.105336,3649,2.3698174953460693
1738699481.2210557,3650,2.245025873184204
1738699481.8043208,3655,2.070496082305908
1738699488.8566275,3691,2.2017900943756104
1738699490.5697782,3705,2.521970748901367
1738699491.4341688,3712,2.111022472381592
1738699493.3324246,3728,2.0268712043762207
1738699493.79817,3732,2.1019396781921387
1738699494.1464024,3735,2.1770248413085938
1738699520.731018,3753,2.0567376613616943
1738699522.0837486,3764,2.0110127925872803
1738699522.4543655,3767,1.9991605281829834
1738699522.5758698,3768,2.007706880569458
1738699525.2894542,3790,1.9587557315826416
1738699525.532952,3792,2.1174795627593994
1738699526.013143,3796,2.0337040424346924
1738699526.5917847,3801,1.9868066310882568
1738699526.9355185,3804,2.1338095664978027
1738699528.1946778,3815,2.110630750656128
1738699532.9744825,3833,2.093319892883301
1738699533.5809488,3838,2.304605007171631
1738699534.6742442,3847,2.315493583679199
1738699535.6551678,3855,2.322800397872925
1738699536.029361,3858,2.09001088142395
1738699536.6528876,3863,2.2946932315826416
1738699538.8864784,3882,2.304708480834961
1738699539.0011609,3883,1.9184296131134033
1738699539.4621594,3887,1.874422311782837
1738699540.26575,3894,2.380452871322632
1738699544.56972,3907,2.2694995403289795
1738699546.798012,3925,2.0472800731658936
1738699548.7433403,3941,2.199240207672119
1738699549.8081222,3950,2.576263427734375
1738699549.923102,3951,2.28389573097229
1738699550.7253017,3958,2.2363905906677246
1738699555.304143,3976,2.049301862716675
1738699562.57785,4034,2.3680222034454346
1738699563.8459747,4045,2.3561203479766846
1738699569.5535607,4069,1.8358091115951538
1738699572.0073168,4089,2.2141008377075195
1738699572.7343967,4095,2.0351526737213135
1738699599.8665586,4126,2.4864895343780518
1738699600.665621,4132,2.051283597946167
1738699601.5356178,4139,2.3578763008117676
1738699602.0323257,4143,2.0080204010009766
1738699605.119928,4168,2.1639740467071533
1738699606.1986153,4177,1.9806995391845703
1738699607.6020813,4189,2.384951114654541
1738699607.8341653,4191,2.2380125522613525
1738699612.0502856,4203,2.1732616424560547
1738699616.6769502,4241,2.160393238067627
1738699618.2033036,4254,1.8788162469863892
1738699618.4357233,4256,1.9728032350540161
1738699618.5508335,4257,1.8583143949508667
1738699625.3324833,4291,2.143045663833618
1738699625.9451873,4296,2.531357765197754
1738699626.806603,4303,1.9926694631576538
1738699626.9324288,4304,2.055325508117676
1738699629.1086886,4322,2.3779072761535645
1738699630.37092,4333,2.213796377182007
1738699631.5204575,4343,2.0893936157226562
1738699634.520511,4350,1.8736603260040283
